time (s) 	ai1 (K)	ai2 (K)	ai3 (K)	ai4 (K)	ai5 (K)	ai6 (K)	ai7 (K)	ai8 (K)	ai9 (K)
2380.68	808.393	642.3809538255	771.9049181565	642.3738583493	671.0811145309	588.1815728772	706.1956987274	588.1620903275	671.087252368
2387.54	807.389	641.6324537367	770.996718121	641.6246592964	670.2547155963	587.4702745641	705.3130994377	587.4507008531	670.2605523029
2394.43	806.385	640.8831636455	770.0882180914	640.8754602434	669.4283166617	586.7581862865	704.430500148	586.7387014924	669.4341522318
2401.33	805.381	640.1341735484	769.1790180559	640.1268711715	668.6019177271	586.0468879734	703.5479008582	586.0274020428	668.6077521608
2408.24	804.376	639.385463462	768.2705180263	639.3776721185	667.7755187925	585.3363796247	702.6660014797	585.3168025992	667.7813520897
2412.99	803.688	638.8717633969	767.6470179967	638.863972811	667.209619414	584.8492807789	702.0608020124	584.8297029957	667.2157520424
2419.92	802.685	638.1233533045	766.7385179671	638.115773758	666.3842204794	584.1391925013	701.1792027227	584.119703635	666.3900519773
2426.88	801.681	637.3750632134	765.8293179316	637.3672747109	665.5588215448	583.4288941882	700.2973033442	583.4101041913	665.5646519062
2433.85	800.676	636.625653121	764.919117896	636.618075658	664.732722699	582.7193858396	699.4157040545	582.7003147998	664.7385518293
2440.84	799.672	635.8766630239	764.0096178664	635.8695766109	663.9073237644	582.009877491	698.5341047647	581.990805381	663.9131517582
2445.63	798.984	635.3636629647	763.3858178428	635.3558773034	663.3417244747	581.5237786452	697.9296052086	581.5047057776	663.3475517109
2452.64	797.981	634.61546287	762.4766178072	634.6076782504	662.5170254513	580.8149904563	697.0490059189	580.796406328	662.5231516398
2459.67	796.977	633.8669627812	761.5664177717	633.8591792034	661.6926265167	580.1069021787	696.1674066292	580.0883169424	661.6984515747
2466.71	795.973	633.1184626924	760.6562177362	633.1109801504	660.8682275821	579.3990937413	695.2868073394	579.3805974597	660.8740515037
